OBJECTID,CODE,TYPELOCAL,NOM,SERV_ECOLE,SERV_POSTE,SERV_DOUAN,SERV_GENDA,SERV_HOPIT,SERV_INFR_,SERV_MUSUL,SERV_CHRET,SERV_CHAT_,SERV_PT_EA,SERV_ANT_H,SERV_EOLIE,SERV_PUITS,THEME,PAYS,IDUU,longitude,latitude
"313","4600060","6",Bandégne Wolof,"1","0","0","0","0","1","1","0","1","0","1","1","0",LA,SN,6c7b3189-55f3-455a-a7bd-d1d7ee6eaa30,350775.0000000,1716712.0000000
"314","4600060","6",Tiép,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,da5d15ff-3d8b-4554-8aa4-1d9d2b2cb94c,335899.0000000,1717412.0000000
"315","4600060","6",Kamb,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,9f2d0ea5-55ef-47d5-ad4b-96ec26901edc,453646.0000000,1717444.0000000
"316","4600060","6",Kel Guèye,"0","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,cb46e245-aba2-4e37-9538-fc62c8ff0e49,364255.0000000,1721106.0000000
"317","4600060","6",Louguéré Tioli,"0","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,eb050911-8cce-4c28-89b8-313cc1ee6d5d,537857.0000000,1721384.0000000
"318","4600060","6",Nguidilé,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,860f4c48-5ef8-4b11-8a47-31cba992ac35,369204.0000000,1724709.0000000
"319","4600060","6",Pété Ouarak,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,c5d1d1da-f2af-4346-9223-1232debc5c2b,393684.0000000,1729946.0000000
"320","4600060","6",Mbeulekhé,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,bcee726f-33d8-4916-97eb-db4b60e7e17f,462597.0000000,1730128.0000000
"321","4600060","6",Mboula,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,73239a20-ce4c-4a6e-b773-82ff9cceb3a1,453583.0000000,1732639.0000000
"322","4600060","6",Niomré,"1","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,cb22ca0b-4c2d-47fb-b5de-a56b57385fd4,380362.0000000,1733297.0000000
